ID,TopicCode,โจทย์ (LaTeX Format),ตัวเลือก (คั่นด้วย |),เฉลย (Correct),ชื่อไฟล์รูป,,,image_id,image_link
[2565-Q1],(K11),วัดขนาดของวัตถุปริซึมฐานสี่เหลี่ยมจัตุรัสได้ดังภาพ ปริซึมมีปริมาตรกี่ลูกบาศก์เซนติเมตร โดยอ้างอิงถึงเลขนัยสำคัญ และกำหนดให้อ่านค่าจากภาพที่ขยายเท่านั้น,53.27 | 53.3 | 58 | 58.3 | 58.34,58.3,2565-Q1,,,1xji_qgfdMx4DmWcAMpv-1PZ6Fk0aknDt,https://lh3.googleusercontent.com/u/0/d/1xji_qgfdMx4DmWcAMpv-1PZ6Fk0aknDt
[2565-Q2],(K6),เจ้าหน้าที่ยืนห่างจากตึก 5 m โยนของให้คนบนตึกที่อยู่สูงกว่าตำแหน่งโยน 253​​ m ดังรูป จะต้องโยนทำมุมเท่าใดเพื่อให้ขณะรับของ วัตถุไม่มีความเร็วในแนวดิ่ง,30∘ | 37∘ | 45∘ | 53∘ | 60∘,60∘,2565-Q2,,,1F-qk1lTTno5qB5aTPBCiXrQRg9UNl9uG,https://lh3.googleusercontent.com/u/0/d/1F-qk1lTTno5qB5aTPBCiXrQRg9UNl9uG
[2565-Q3],(K6),$ลูกบอลมวล m_{1}​ เป็นครึ่งหนึ่งของ m_{2}​ แกว่งเป็นวงกลมระนาบระดับ ถ้ารัศมีเคลื่อนที่ของ m_{2}​ เป็น 2 เท่าของ m_{1}​ ข้อใดถูกต้อง$,$T_{1}​<T_{2}​$ | $ω_{1}​<ω_{2}​$ | $ω_{1}​=ω_{2}​$ | $v_{1}​=v_{2}​$ | $Fc1​>Fc2​$,ω1​=ω2​,2565-Q3,,,1qfG9S5bSo9-1rwmcRKhW5xGIva_3dKyk,https://lh3.googleusercontent.com/u/0/d/1qfG9S5bSo9-1rwmcRKhW5xGIva_3dKyk
[2565-Q4],(K7),"$แกว่งลูกตุ้มมวล m ยาว L แบบ SHM ครบ 10 รอบใน π_{2} s พิจารณา ก.ความเร็วที่ A, B ไม่เป็นศูนย์ ข.คาบเท่ากับ 10π_{2}​ s ค.เพิ่มเชือกเป็น 2L ความถี่เชิงมุมเพิ่มขึ้น$",ข้อ ก. เท่านั้น | ข้อ ข. เท่านั้น | ข้อ ค. เท่านั้น | ข้อ ก. และ ข. | ข้อ ข. และ ค.,ข้อ ข. เท่านั้น,2565-Q4,,,1Uzckh78oilya7PqIwP5nzOHDU7uh357r,https://lh3.googleusercontent.com/u/0/d/1Uzckh78oilya7PqIwP5nzOHDU7uh357r
[2565-Q5],(K2),รถบรรทุก M ขนกล่อง m ด้วยอัตราเร็ว u ต้องการเบรกให้หยุดโดยกล่องไม่ไถล ระยะสั้นที่สุดเป็นเท่าใด กำหนด μs​ และ μk​,$2μs​gu_{2}​$ | $2μk​gu_{2}​$ | $2(μk​+μs​)gu_{2}​$ | $(mm+M​)2μs​gu_{2}​$ | $(mm+M​)2μk​gu_{2}​$,2μs​gu2​,2565-Q5,,,1U6p0mT6luPpBOwbI15rBiHbCLMz1GiYJ,https://lh3.googleusercontent.com/u/0/d/1U6p0mT6luPpBOwbI15rBiHbCLMz1GiYJ
[2565-Q6],(K3),กระถางต้นไม้มวล M ถูกผูกด้วยเชือกเบา 3 เส้น ดังรูป เมื่ออยู่นิ่งแรงตึงเชือก B มีค่าเท่าไร,Mgsinθ | Mgcosθ | Mgtanθ | Mgcscθ | Mgcotθ,Mgcosθ,2565-Q6,,,ไม่พบรูปภาพ,https://lh3.googleusercontent.com/u/0/d/ไม่พบรูปภาพ
[2565-Q7],(K5),จากกราฟแรง F กับเวลา t ใน 2 เหตุการณ์ I1​ และ I2​ คือขนาดการดล ข้อใดถูกต้อง,I1​>I2​ (พื้นที่) | I1​>I2​ (แรงสูงสุด) | I2​>I1​ (แรงเฉลี่ย) | I2​>I1​ (ช่วงเวลา) | I2​>I1​ (ลดลงเร็ว),I2​>I1​ (ช่วงเวลา),2565-Q7,,,ไม่พบรูปภาพ,https://lh3.googleusercontent.com/u/0/d/ไม่พบรูปภาพ
[2565-Q8],(K8),คลื่นอัตราเร็ว 2 m/s จากกราฟการกระจัดและเวลา อนุภาค 2 ตัวที่มีเฟสต่างกัน 0.25π rad จะอยู่ห่างกันเท่าไร,0.1 m | 0.125 m | 0.25 m | 0.5 m | 1.0 m,0.125 m,2565-Q8,,,ไม่พบรูปภาพ,https://lh3.googleusercontent.com/u/0/d/ไม่พบรูปภาพ
[2565-Q9],(K8),คลื่น 2 ขบวนเคลื่อนที่ 1 m/s เข้าหาปลายตรึง เมื่อผ่านไป 2 s ภาพใดใกล้เคียงที่สุด,ตัวเลือก 1 | ตัวเลือก 2 | ตัวเลือก 3 | ตัวเลือก 4 | ตัวเลือก 14,ตัวเลือก 1,2565-Q9,,,ไม่พบรูปภาพ,
[2565-Q10],(K10),"ที่ความถี่ 1,000 Hz ระยะ 15 m ได้ระดับเสียง 140 dB หากต้องการไม่ให้เริ่มเจ็บปวด (120 dB) ควรห่างกี่เมตร","13 m | 130 m | 150 m | 1.5 km | 15,000 km",150 m,2565-Q10,,,ไม่พบรูปภาพ,
